Type,Crew Type,Premission,Postmission,A,B
Local,t11,02-Jun-32,03-Jun-32,False,False
SOLL Alert,t13,03-Jun-32,13-Jun-32,False,False
Local,t11,03-Jun-32,04-Jun-32,False,True
Local,t11,03-Jun-32,04-Jun-32,False,True
Mission,t16,06-Jun-32,07-Jun-32,False,False
Local,t11,06-Jun-32,07-Jun-32,False,False
Local,t11,07-Jun-32,09-Jun-32,True,False
SOLL Alert,t13,10-Jun-32,20-Jun-32,False,False
Banner Alert,t10,11-Jun-32,15-Jun-32,False,False
AD Mission,t15,12-Jun-32,18-Jun-32,True,False
Mission,t10,13-Jun-32,23-Jun-32,False,False
Local,t11,13-Jun-32,14-Jun-32,False,False
Mission,t10,13-Jun-32,20-Jun-32,False,False
Mission,t10,13-Jun-32,24-Jun-32,False,False
Mission,t10,14-Jun-32,17-Jun-32,False,False
AD Local,t12,14-Jun-32,16-Jun-32,True,False
Local,t11,14-Jun-32,15-Jun-32,False,False
Local,t11,14-Jun-32,16-Jun-32,True,False
Local,t11,15-Jun-32,17-Jun-32,True,False
SOLL Local,t13,16-Jun-32,18-Jun-32,True,True
Local,t11,16-Jun-32,17-Jun-32,False,False
Local,t11,16-Jun-32,18-Jun-32,True,False
J1 Alert,t14,17-Jun-32,25-Jun-32,False,False
AD Mission,t15,17-Jun-32,23-Jun-32,False,False
Banner Alert,t10,19-Jun-32,22-Jun-32,False,False
Mission,t10,20-Jun-32,02-Jul-32,False,False
SOLL Local,t13,20-Jun-32,22-Jun-32,False,False
SOLL Local,t13,20-Jun-32,22-Jun-32,True,True
Local,t11,20-Jun-32,21-Jun-32,False,False
Local,t11,21-Jun-32,22-Jun-32,False,True
SOLL Local,t13,22-Jun-32,24-Jun-32,True,True
Local,t11,22-Jun-32,23-Jun-32,False,False
Local,t11,22-Jun-32,24-Jun-32,True,False
Mission,t10,23-Jun-32,29-Jun-32,False,False
Local,t11,23-Jun-32,24-Jun-32,False,False
Local,t11,23-Jun-32,25-Jun-32,True,False
SOLL Alert,t13,24-Jun-32,04-Jul-32,False,False
Local,t11,24-Jun-32,25-Jun-32,False,True
Mission,t16,25-Jun-32,30-Jun-32,False,False
SOLL Local,t13,27-Jun-32,29-Jun-32,True,True
Local,t11,27-Jun-32,28-Jun-32,False,False
Local,t11,27-Jun-32,29-Jun-32,True,True
Local,t11,28-Jun-32,29-Jun-32,False,False
Mission,t10,28-Jun-32,01-Jul-32,False,False
AD Local,t12,28-Jun-32,30-Jun-32,True,False
AD Local,t12,28-Jun-32,30-Jun-32,True,False
SOLL Local,t13,29-Jun-32,01-Jul-32,True,True
Mission,t10,29-Jun-32,05-Jul-32,False,False
AD Local,t12,29-Jun-32,30-Jun-32,False,False
SOLL Mission,t13,30-Jun-32,05-Jul-32,False,False
SOLL Alert,t13,01-Jul-32,11-Jul-32,False,False
Banner Alert,t10,02-Jul-32,07-Jul-04,False,False
AD Local,t12,04-Jul-32,05-Jul-32,False,False
Mission,t10,04-Jul-32,11-Jul-32,False,False
Banner Alert,t10,06-Jul-32,10-Jul-32,False,False
SOLL Alert,t13,08-Jul-32,18-Jul-32,False,False
J1 Alert,t14,08-Jul-32,16-Jul-32,False,False
Mission,t10,09-Jul-32,31-Jul-32,False,False
